Project ID,Skills
project-80,"['Algorithm', 'Web Application Development']"
project-81,"['Data Structures', 'Algorithm']"
project-82,"['Software Engineering', 'UI/UX', 'Data Structures', 'Web Application Development']"
project-83,"['Data Structures', 'C++ Programming']"
project-84,"['Web Application Development', 'Software Engineering', 'C++ Programming']"
project-85,['Web Application Development']
project-86,"['Web Application Development', 'C++ Programming', 'Algorithm', 'Data Structures', 'Software Engineering']"
project-87,"['UI/UX', 'Algorithm', 'Software Engineering', 'Data Structures', 'Web Application Development']"
project-88,"['Algorithm', 'UI/UX', 'Software Engineering']"
project-89,"['UI/UX', 'Software Engineering', 'Data Structures', 'Algorithm']"
project-90,"['UI/UX', 'C++ Programming', 'Algorithm', 'Software Engineering', 'Web Application Development', 'Data Structures']"
project-91,['Data Structures']
project-92,['C++ Programming']
project-93,"['Algorithm', 'C++ Programming', 'UI/UX', 'Web Application Development', 'Software Engineering']"
project-94,['Algorithm']
project-95,"['Web Application Development', 'Data Structures', 'C++ Programming', 'UI/UX', 'Software Engineering']"
project-96,['Algorithm']
project-97,"['Algorithm', 'C++ Programming', 'Software Engineering', 'UI/UX', 'Web Application Development']"
project-98,"['Software Engineering', 'Algorithm', 'Web Application Development', 'Data Structures']"
project-99,"['Algorithm', 'Web Application Development', 'UI/UX', 'C++ Programming']"
project-100,"['UI/UX', 'Algorithm', 'Data Structures']"
